vol_method,episode_id,n_days,first_date,last_date,min_tau,max_tau,min_delta,max_delta,first_price,last_price,mean_sigma
iv_inception_vix,SPY_calm_C_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.3892657714069246,0.9999640489128873,16.98999179036099,29.274988681017646,0.23350000381469727
iv_inception_vix,SPY_calm_C_OTM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,0.2411382997200824,0.9791005313570013,9.73563151254838,10.314618511961726,0.23350000381469727
iv_inception_vix,SPY_calm_P_ATM,63,2021-03-01,2021-05-27,0.0027397260273972603,0.2410958904109589,-0.6076831254754361,-1.530698494027113e-09,18.614213129394614,1.2592063325526833e-09,0.23350000381469727
iv_inception_vix,SPY_highvol_C_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.5430960712404362,17.11269535285055,7.195427251321726e-72,0.196299991607666
iv_inception_vix,SPY_highvol_C_OTM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,0.0,0.34307159663813014,8.556925122457443,2.171825725545319e-114,0.196299991607666
iv_inception_vix,SPY_highvol_P_ATM,62,2022-04-01,2022-06-30,0.0027397260273972603,0.2493150684931507,-0.9999612280406015,-0.45349774443964364,18.22356447601973,75.74476962236787,0.196299991607666
iv_inception_vix,SPY_recent_C_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.3501366600083986,0.9969460057619907,23.277283338019515,22.470272324582197,0.16290000915527345
iv_inception_vix,SPY_recent_C_OTM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,0.043855063201605954,0.40793096647435945,9.96339331056754,0.32601334711360863,0.16290000915527345
iv_inception_vix,SPY_recent_P_ATM,60,2025-10-01,2025-12-24,0.005479452054794521,0.2356164383561644,-0.6486290161380943,-0.002985380688769371,18.7722313971654,0.0075267948354040826,0.16290000915527345
iv_inception_vix,SPY_stress_C_ATM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,0.0,0.7155668383900916,11.322877436163225,4.2086292543974747e-32,0.17969999313354493
iv_inception_vix,SPY_stress_C_OTM,62,2020-02-03,2020-04-30,0.0027397260273972603,0.2410958904109589,0.0,0.4875876181328329,5.34099577538359,5.857321658572743e-64,0.17969999313354493
