episode_id,regime,moneyness,option_type,vol_method,rebalance_frequency,rebalance_step_trading_days,transaction_cost_bps,n_marking_days,mean_abs_mtm_error,rmse_mtm_error,max_abs_mtm_error,avg_abs_delta_trade,n_rebalance_days,total_transaction_cost,total_turnover_dollars,settlement_date,settlement_stock_price,settlement_option_payoff,terminal_payoff,terminal_hedging_pnl,settlement_price_source,abs_terminal_hedging_pnl
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,daily,1,0.0,63,2.7054879920872623,3.215407862862244,4.899995286174885,0.033175823920020796,63,0.0,836.0139951898736,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,4.8212600485015855,exact_expiration_close,4.8212600485015855
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,daily,1,1.0,63,2.6539473672880516,3.1609082004594824,4.817536950021008,0.033175823920020796,63,0.0836013995189874,836.0139951898736,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,4.6956548832843765,exact_expiration_close,4.6956548832843765
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,daily,1,5.0,63,2.455219554360845,2.9436293691793334,4.526939387959942,0.033175823920020796,63,0.41800699759493676,836.0139951898736,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,4.193234222417367,exact_expiration_close,4.193234222417367
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,every_2_days,2,0.0,63,2.903672838952594,3.4454227941453803,5.521945996802344,0.023540144260412867,32,0.0,592.6986266072976,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,5.466951128369544,exact_expiration_close,5.466951128369544
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,every_2_days,2,1.0,63,2.865574192100731,3.4057526923231736,5.463817084086884,0.023540144260412867,32,0.05926986266072972,592.6986266072976,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,5.365677781903244,exact_expiration_close,5.365677781903244
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,every_2_days,2,5.0,63,2.716771966986774,3.247576184228491,5.231301433226292,0.023540144260412867,32,0.2963493133036486,592.6986266072976,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,4.960584396039074,exact_expiration_close,4.960584396039074
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,weekly,5,0.0,63,2.6744960613193105,3.340728632672114,5.969587053823886,0.0193355253608432,13,0.0,485.2509424455544,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,5.749518086992566,exact_expiration_close,5.749518086992566
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,weekly,5,1.0,63,2.6409174422006405,3.3076482767070514,5.924267379839989,0.0193355253608432,13,0.048525094244555436,485.2509424455544,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,5.659012375466091,exact_expiration_close,5.659012375466091
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix,weekly,5,5.0,63,2.514324029748783,3.1760690280781927,5.742988683904969,0.0193355253608432,13,0.24262547122277717,485.2509424455544,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,5.296989529360353,exact_expiration_close,5.296989529360353
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,daily,1,0.0,63,3.811830862066818,4.543006704539504,7.297463705479572,0.032021914994345674,63,0.0,808.091627021896,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.2564798268517166,exact_expiration_close,7.2564798268517166
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,daily,1,1.0,63,3.762678195459875,4.49152877721036,7.216737837896915,0.032021914994345674,63,0.08080916270218962,808.091627021896,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.133666971848797,exact_expiration_close,7.133666971848797
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,daily,1,5.0,63,3.5705354702815066,4.286043952532962,6.893834367567877,0.032021914994345674,63,0.40404581351094804,808.091627021896,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,6.64241555183888,exact_expiration_close,6.64241555183888
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,every_2_days,2,0.0,63,3.9997679950862977,4.770227013817013,7.9377806537608535,0.02312650744027788,32,0.0,583.1404248068648,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.896392584403486,exact_expiration_close,7.896392584403486
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,every_2_days,2,1.0,63,3.9634466964997026,4.732410546041586,7.8795501876643925,0.02312650744027788,32,0.05831404248068648,583.1404248068648,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.796075102758934,exact_expiration_close,7.796075102758934
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,every_2_days,2,5.0,63,3.8191195120411545,4.581481899847708,7.646628323279799,0.02312650744027788,32,0.2915702124034324,583.1404248068648,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.394805176181748,exact_expiration_close,7.394805176181748
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,weekly,5,0.0,63,3.824530287161951,4.719453798049207,8.405586379983845,0.01888747181714805,13,0.0,474.44052128177975,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,8.244133810818198,exact_expiration_close,8.244133810818198
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,weekly,5,1.0,63,3.7924634661032433,4.687619271421788,8.362496753322148,0.01888747181714805,13,0.04744405212817797,474.44052128177975,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,8.154771067950776,exact_expiration_close,8.154771067950776
SPY_calm_C_ATM,calm,ATM,call,iv_inception_vix3m,weekly,5,5.0,63,3.6651541917562174,4.5607220270199065,8.190138246677463,0.01888747181714805,13,0.23722026064088986,474.44052128177975,2021-05-28,420.0400085449219,30.040008544921875,30.040008544921875,7.797320096483418,exact_expiration_close,7.797320096483418
